text,label
The Gulab Jamun was absolutely delightful!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
"The Modak tasted amazing, just like homemade!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
The Sandesh was perfect for the festival!,1
"Pitha was delicious, very satisfying!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
"The Modak tasted amazing, just like homemade!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
The Sandesh was perfect for the festival!,1
Rasgulla was so fresh and delightful!,1
"Pitha was delicious, very satisfying!",1
The Gulab Jamun was absolutely delightful!,1
The Sandesh was perfect for the festival!,1
The Sandesh was perfect for the festival!,1
Rasgulla was so fresh and delightful!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
Rasgulla was so fresh and delightful!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"The Modak tasted amazing, just like homemade!",1
"The Modak tasted amazing, just like homemade!",1
The Gulab Jamun was absolutely delightful!,1
"The Modak tasted amazing, just like homemade!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
Rasgulla was so fresh and delightful!,1
The Gulab Jamun was absolutely delightful!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
Rasgulla was so fresh and delightful!,1
"The Modak tasted amazing, just like homemade!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"The Modak tasted amazing, just like homemade!",1
Rasgulla was so fresh and delightful!,1
The Gulab Jamun was absolutely delightful!,1
Rasgulla was so fresh and delightful!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
The Sandesh was perfect for the festival!,1
The Gulab Jamun was absolutely delightful!,1
"I enjoyed the Kheer, it was rich and creamy!",1
"The Modak tasted amazing, just like homemade!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
The Gulab Jamun was absolutely delightful!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
The Gulab Jamun was absolutely delightful!,1
The Gulab Jamun was absolutely delightful!,1
Rasgulla was so fresh and delightful!,1
The Gulab Jamun was absolutely delightful!,1
The Sandesh was perfect for the festival!,1
"I enjoyed the Kheer, it was rich and creamy!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Pitha was delicious, very satisfying!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Pitha was delicious, very satisfying!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"Pitha was delicious, very satisfying!",1
The Gulab Jamun was absolutely delightful!,1
"The Modak tasted amazing, just like homemade!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
Rasgulla was so fresh and delightful!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
Rasgulla was so fresh and delightful!,1
"Pitha was delicious, very satisfying!",1
Rasgulla was so fresh and delightful!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
"The Modak tasted amazing, just like homemade!",1
"The Modak tasted amazing, just like homemade!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
The Sandesh was perfect for the festival!,1
"Pitha was delicious, very satisfying!",1
The Sandesh was perfect for the festival!,1
The Sandesh was perfect for the festival!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"I enjoyed the Kheer, it was rich and creamy!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"I enjoyed the Kheer, it was rich and creamy!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
Rasgulla was so fresh and delightful!,1
"I enjoyed the Kheer, it was rich and creamy!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Pitha was delicious, very satisfying!",1
Rasgulla was so fresh and delightful!,1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"Pitha was delicious, very satisfying!",1
The Sandesh was perfect for the festival!,1
"The Modak tasted amazing, just like homemade!",1
"Pitha was delicious, very satisfying!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
"Pitha was delicious, very satisfying!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
"The Modak tasted amazing, just like homemade!",1
Rasgulla was so fresh and delightful!,1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
The Gulab Jamun was absolutely delightful!,1
"Pitha was delicious, very satisfying!",1
The Gulab Jamun was absolutely delightful!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"The Modak tasted amazing, just like homemade!",1
The Sandesh was perfect for the festival!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
The Sandesh was perfect for the festival!,1
The Sandesh was perfect for the festival!,1
"The Modak tasted amazing, just like homemade!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
The Gulab Jamun was absolutely delightful!,1
"Rasgulla is my favorite sweet, so soft and sweet!",1
Rasgulla was so fresh and delightful!,1
The Sandesh was perfect for the festival!,1
"I enjoyed the Kheer, it was rich and creamy!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
The Sandesh was perfect for the festival!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
The Sandesh was perfect for the festival!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Pitha was delicious, very satisfying!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"I enjoyed the Kheer, it was rich and creamy!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"The Modak tasted amazing, just like homemade!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
The Gulab Jamun was absolutely delightful!,1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"The Modak tasted amazing, just like homemade!",1
The Sandesh was perfect for the festival!,1
"Pitha was delicious, very satisfying!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"Pitha was delicious, very satisfying!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
Rasgulla was so fresh and delightful!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"The Modak tasted amazing, just like homemade!",1
"Pitha was delicious, very satisfying!",1
Rasgulla was so fresh and delightful!,1
The Sandesh was perfect for the festival!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
"Pitha was delicious, very satisfying!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
The Gulab Jamun was absolutely delightful!,1
Rasgulla was so fresh and delightful!,1
Rasgulla was so fresh and delightful!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
The Gulab Jamun was absolutely delightful!,1
"The Modak tasted amazing, just like homemade!",1
"The Modak tasted amazing, just like homemade!",1
The Sandesh was perfect for the festival!,1
"Pitha was delicious, very satisfying!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"I enjoyed the Kheer, it was rich and creamy!",1
"I enjoyed the Kheer, it was rich and creamy!",1
Rasgulla was so fresh and delightful!,1
The Gulab Jamun was absolutely delightful!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
The Sandesh was perfect for the festival!,1
"The Modak tasted amazing, just like homemade!",1
The Gulab Jamun was absolutely delightful!,1
Rasgulla was so fresh and delightful!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
The Sandesh was perfect for the festival!,1
Rasgulla was so fresh and delightful!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
The Gulab Jamun was absolutely delightful!,1
The Gulab Jamun was absolutely delightful!,1
"The Modak tasted amazing, just like homemade!",1
"The Modak tasted amazing, just like homemade!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
The Sandesh was perfect for the festival!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
Rasgulla was so fresh and delightful!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
The Sandesh was perfect for the festival!,1
"I enjoyed the Kheer, it was rich and creamy!",1
The Gulab Jamun was absolutely delightful!,1
"Pitha was delicious, very satisfying!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
The Gulab Jamun was absolutely delightful!,1
The Gulab Jamun was absolutely delightful!,1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"I enjoyed the Kheer, it was rich and creamy!",1
The Sandesh was perfect for the festival!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"The Modak tasted amazing, just like homemade!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
Rasgulla was so fresh and delightful!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
Rasgulla was so fresh and delightful!,1
"Pitha was delicious, very satisfying!",1
"The Modak tasted amazing, just like homemade!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"Pitha was delicious, very satisfying!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
The Sandesh was perfect for the festival!,1
"Pitha was delicious, very satisfying!",1
The Sandesh was perfect for the festival!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"Pitha was delicious, very satisfying!",1
"The Modak tasted amazing, just like homemade!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
The Gulab Jamun was absolutely delightful!,1
"Pitha was delicious, very satisfying!",1
"The Modak tasted amazing, just like homemade!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
The Gulab Jamun was absolutely delightful!,1
"Pitha was delicious, very satisfying!",1
"Pitha was delicious, very satisfying!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"I enjoyed the Kheer, it was rich and creamy!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
The Gulab Jamun was absolutely delightful!,1
"I enjoyed the Kheer, it was rich and creamy!",1
"The Modak tasted amazing, just like homemade!",1
"The Modak tasted amazing, just like homemade!",1
The Gulab Jamun was absolutely delightful!,1
"The Modak tasted amazing, just like homemade!",1
Rasgulla was so fresh and delightful!,1
The Sandesh was perfect for the festival!,1
The Gulab Jamun was absolutely delightful!,1
The Gulab Jamun was absolutely delightful!,1
"Rasgulla is my favorite sweet, so soft and sweet!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
"Mysore Pak has the best flavor, I can’t get enough!",1
Rasgulla was so fresh and delightful!,1
"I enjoyed the Kheer, it was rich and creamy!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
Rasgulla was so fresh and delightful!,1
The Gulab Jamun was absolutely delightful!,1
Rasgulla was so fresh and delightful!,1
Rasgulla was so fresh and delightful!,1
Rasgulla was so fresh and delightful!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
Rasgulla was so fresh and delightful!,1
The Sandesh was perfect for the festival!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
The Sandesh was perfect for the festival!,1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Rasgulla is my favorite sweet, so soft and sweet!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"I loved the taste of Mysore Pak, it was heavenly!",1
"I loved the taste of Mysore Pak, it was heavenly!",1
Rasgulla was so fresh and delightful!,1
"Pitha was delicious, very satisfying!",1
"Rasgulla is my favorite sweet, so soft and sweet!",1
The Gulab Jamun was absolutely delightful!,1
"The Modak tasted amazing, just like homemade!",1
Kozhukattai is a must-have during Ganesh Chaturthi!,1
"Pitha was delicious, very satisfying!",1
Rasgulla was so fresh and delightful!,1
"Mysore Pak has the best flavor, I can’t get enough!",1
The Gulab Jamun was absolutely delightful!,1
"I enjoyed the Kheer, it was rich and creamy!",1
